schemaname,tablename,indexname,indexdef
public,import_logs,import_logs_created_at_idx,CREATE INDEX import_logs_created_at_idx ON public.import_logs USING btree (created_at DESC)
public,import_logs,import_logs_pkey,CREATE UNIQUE INDEX import_logs_pkey ON public.import_logs USING btree (id)
public,import_logs,import_logs_site_id_idx,CREATE INDEX import_logs_site_id_idx ON public.import_logs USING btree (site_id)
public,import_logs,import_logs_type_idx,CREATE INDEX import_logs_type_idx ON public.import_logs USING btree (type)
public,import_logs,import_logs_user_id_idx,CREATE INDEX import_logs_user_id_idx ON public.import_logs USING btree (user_id)
public,location_issues,idx_issues_location,CREATE INDEX idx_issues_location ON public.location_issues USING btree (location_id)
public,location_issues,location_issues_pkey,CREATE UNIQUE INDEX location_issues_pkey ON public.location_issues USING btree (id)
public,locations,idx_locations_locked_by,CREATE INDEX idx_locations_locked_by ON public.locations USING btree (locked_by)
public,locations,idx_locations_zone_status,"CREATE INDEX idx_locations_zone_status ON public.locations USING btree (zone, status)"
public,locations,locations_pkey,CREATE UNIQUE INDEX locations_pkey ON public.locations USING btree (id)
public,locations,locations_site_code_unique,"CREATE UNIQUE INDEX locations_site_code_unique ON public.locations USING btree (site_id, code)"
public,locations,locations_site_id_idx,CREATE INDEX locations_site_id_idx ON public.locations USING btree (site_id)
public,locations,locations_zone_idx,CREATE INDEX locations_zone_idx ON public.locations USING btree (zone)
public,prices,idx_prices_product,CREATE INDEX idx_prices_product ON public.prices USING btree (product_id)
public,prices,prices_pkey,CREATE UNIQUE INDEX prices_pkey ON public.prices USING btree (id)
public,prices,prices_product_id_unique,CREATE UNIQUE INDEX prices_product_id_unique ON public.prices USING btree (product_id)
public,prices,prices_site_id_idx,CREATE INDEX prices_site_id_idx ON public.prices USING btree (site_id)
public,prices,unique_product_price,CREATE UNIQUE INDEX unique_product_price ON public.prices USING btree (product_id)
public,process_config,process_config_pkey,CREATE UNIQUE INDEX process_config_pkey ON public.process_config USING btree (id)
public,process_config,process_config_site_id_idx,CREATE INDEX process_config_site_id_idx ON public.process_config USING btree (site_id)
public,products,idx_products_ean,CREATE INDEX idx_products_ean ON public.products USING btree (ean)
public,products,idx_products_sku,CREATE INDEX idx_products_sku ON public.products USING btree (sku)
public,products,products_pkey,CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id)
public,products,products_site_id_idx,CREATE INDEX products_site_id_idx ON public.products USING btree (site_id)
public,products,products_site_sku_unique,"CREATE UNIQUE INDEX products_site_sku_unique ON public.products USING btree (site_id, sku)"
public,profiles,idx_profiles_id,CREATE INDEX idx_profiles_id ON public.profiles USING btree (id)
public,profiles,idx_profiles_user_id,CREATE INDEX idx_profiles_user_id ON public.profiles USING btree (user_id)
public,profiles,profiles_operator_number_unique,CREATE UNIQUE INDEX profiles_operator_number_unique ON public.profiles USING btree (operator_number) WHERE ((operator_number IS NOT NULL) AND (btrim(operator_number) <> ''::text))
public,profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
public,profiles,profiles_user_id_unique,CREATE UNIQUE INDEX profiles_user_id_unique ON public.profiles USING btree (user_id) WHERE (user_id IS NOT NULL)
public,profiles,profiles_user_id_unique_constraint,CREATE UNIQUE INDEX profiles_user_id_unique_constraint ON public.profiles USING btree (user_id)
public,sessions,idx_sessions_user,CREATE INDEX idx_sessions_user ON public.sessions USING btree (user_id)
public,sessions,one_active_session_per_user,CREATE UNIQUE INDEX one_active_session_per_user ON public.sessions USING btree (user_id) WHERE (status = 'active'::text)
public,sessions,sessions_pkey,CREATE UNIQUE INDEX sessions_pkey ON public.sessions USING btree (id)
public,sites,sites_code_key,CREATE UNIQUE INDEX sites_code_key ON public.sites USING btree (code)
public,sites,sites_pkey,CREATE UNIQUE INDEX sites_pkey ON public.sites USING btree (id)
public,stock,idx_stock_location,CREATE INDEX idx_stock_location ON public.stock USING btree (location_id)
public,stock,idx_stock_location_id,CREATE INDEX idx_stock_location_id ON public.stock USING btree (location_id)
public,stock,idx_stock_product,CREATE INDEX idx_stock_product ON public.stock USING btree (product_id)
public,stock,stock_location_id_idx,CREATE INDEX stock_location_id_idx ON public.stock USING btree (location_id)
